"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases
"
North America
","48,842,117","+18,731","1,006,673",+758,"38,074,054","+17,269","9,761,390"
"
Asia
","70,994,291","+118,005","1,049,192","+2,168","66,280,456","+160,313","3,664,643"
"
South America
","37,032,591",,"1,134,070",,"34,851,630",,"1,046,891"
"
Europe
","55,781,261","+30,441","1,179,120",+895,"50,919,786","+52,928","3,682,355"
"
Africa
","7,945,380",+204,"198,814",+13,"7,075,709",+713,"670,857"
"
Oceania
","170,144","+1,977","2,253",+7,"119,305",+36,"48,586"
"

",721,,15,,706,,0
Hong Kong,"12,114",,212 ,,"11,798",,104
Djibouti,"11,768",+3,157 ,,"11,570",+7,41
Nicaragua,"11,735",,200 ,,"4,225",,"7,310"
South Sudan,"11,473",+27,120 ,,"10,948",,405
CAR,"11,296",,100 ,,"6,859",,"4,337"
Mauritius,"11,181",+505,31 ,,"1,854",,"9,296"
Iceland,"10,956",+44,33 ,,"10,147",+84,776
Channel Islands,"10,738",+49,95 ,,"10,225",+35,418
Equatorial Guinea,"9,760",+283,128 ,+2,"8,939",+60,693
Gambia,"9,736",+21,323 ,+1,"9,345",+30,68
Saint Lucia,"8,887",+345,116 ,+8,"6,454",+78,"2,317"
Yemen,"8,018",+67,"1,513 ",+27,"4,937",+29,"1,568"
Isle of Man,"6,779",+38,38 ,,"6,445",+51,296
Eritrea,"6,646",+4,38 ,,"6,595",+1,13
Sierra Leone,"6,371",+2,121 ,,"4,361",,"1,889"
Niger,"5,869",+6,199 ,,"5,575",+14,95
Guinea-Bissau,"5,869",+15,120 ,,"4,921",+47,828
Liberia,"5,459",,148 ,,"2,715",,"2,596"
Gibraltar,"5,376",+5,97 ,,"5,191",+7,88
San Marino,"5,321",,90 ,,"5,150",,81
Barbados,"5,183",+31,51 ,,"4,707",+19,425
Chad,"4,995",+1,174 ,,"4,816",+4,5
Comoros,"4,083",+7,147 ,,"3,906",+4,30
Sint Maarten,"3,797",+22,56 ,,"3,505",+43,236
New Zealand,"3,729",+32,26 ,,"2,948",+47,755
Saint Martin,"3,463",,45 ,,"1,399",,"2,019"
Liechtenstein,"3,301",+12,59 ,,"3,189",+3,53
Monaco,"3,224",+4,33 ,,"3,115",+7,76
Brunei ,"3,093",+133,12 ,,"1,297",+153,"1,784"
Bermuda,"3,048",+125,34 ,,"2,724",+40,290
Turks and Caicos,"2,674",+2,20 ,,"2,569",+1,85
Sao Tome and Principe,"2,657",+23,37 ,,"2,449",+11,171
British Virgin Islands,"2,640",+72,37 ,,"2,537",+37,66
Bhutan,"2,596",,3 ,,"2,574",,19
St. Vincent Grenadines,"2,358",+3,12 ,,"2,305",,41
Dominica,"1,832",,4 ,,"1,210",,618
Caribbean Netherlands,"1,808",+8,17 ,,"1,754",,37
Antigua and Barbuda,"1,750",+8,44 ,,"1,349",,357
St. Barth,"1,534",,2 ,,462,,"1,070"
Tanzania,"1,367",,50 ,,183,,"1,134"
Saint Kitts and Nevis,"1,166",+18,5 ,+1,659,+14,502
Grenada,"1,098",+281,5 ,+1,225,+11,868
Faeroe Islands,"1,002",,2 ,,995,,5
Diamond Princess,712,,13 ,,699,,0
Cayman Islands,690,+1,2 ,,671,+1,17
Wallis and Futuna,445,,7 ,,438,,0
Greenland,347,, ,,298,,49
Anguilla,256,, ,,208,,48
New Caledonia,136,, ,,58,,78
Falkland Islands,67,, ,,63,,4
Macao,63,, ,,60,,3
Saint Pierre Miquelon,31,, ,,30,,1
Montserrat,29,,1 ,,22,,6
Vatican City,27,, ,,27,,0
Solomon Islands,20,, ,,20,,0
Western Sahara,10,,1 ,,8,,1
MS Zaandam,9,,2 ,,7,,0
Vanuatu,4,,1 ,,3,,0
Marshall Islands,4,, ,,4,,0
Samoa,3,, ,,3,,0
Palau,2,, ,,2,+1,0
Saint Helena,2,, ,,2,,0
Micronesia,1,, ,,1,,0
Total:,"70,876,286","+241,676","1,047,024","+3,764","66,120,143","+242,763","3,709,119"
Total:,"48,823,386","+223,534","1,005,915","+2,754","38,056,785","+96,910","9,760,686"
Total:,"37,032,591","+35,139","1,134,070","+1,152","34,851,630","+30,074","1,046,891"
Total:,"55,750,820","+136,701","1,178,225","+1,581","50,866,858","+125,350","3,705,737"
Total:,"7,945,176","+25,945","198,801",+614,"7,074,996","+31,274","671,379"
Total:,"168,167","+1,930","2,246",+33,"119,269","+1,053","46,652"
Total:,721,,15,,706,,0
Total:,"220,597,147","+664,925","4,566,296","+9,898","197,090,387","+527,424","18,940,464"

"
Asia
","70,634,610","+255,421","1,043,260","+3,867","65,877,380","+259,441","3,713,970"
"
North America
","48,599,852","+221,670","1,003,161","+3,214","37,959,875","+92,955","9,636,816"
"
South America
","36,997,452","+37,524","1,132,918","+1,220","34,821,556","+36,702","1,042,978"
"
Europe
","55,614,119","+142,213","1,176,644","+1,633","50,741,508","+132,048","3,695,967"
"
Africa
","7,919,231","+27,780","198,187",+847,"7,043,722","+32,546","677,322"
"
Oceania
","166,237","+1,774","2,213",+25,"118,216","+1,109","45,808"
"

",721,,15,,706,,0
World,"219,932,222","+686,382","4,556,398","+10,806","196,562,963","+554,801","18,812,861"
China,"94,926",+28,"4,636 ",,"89,313",+73,977
USA,"40,521,081","+182,745","663,423 ","+1,713","31,199,835","+61,899","8,657,823"
India,"32,902,345","+45,482","439,916 ",+357,"32,056,085","+34,988","406,344"
Brazil,"20,830,712","+26,497","582,004 ",+776,"19,801,725","+25,852","446,983"
Russia,"6,956,318","+18,985","184,812 ",+798,"6,218,048","+18,669","553,458"
UK,"6,862,893","+38,151","132,920 ",+178,"5,533,227","+31,119","1,196,746"
France,"6,799,240","+15,911","114,680 ",+103,"6,310,859","+26,320","373,701"
Turkey,"6,435,773","+23,496","57,283 ",+283,"5,872,385","+20,004","506,105"
Argentina,"5,195,601","+4,653","112,195 ",+190,"4,884,418","+6,319","198,988"
Iran,"5,055,512","+30,279","108,988 ",+595,"4,269,508","+32,193","677,016"
Colombia,"4,913,031","+1,949","125,097 ",+81,"4,742,640","+1,931","45,294"
Spain,"4,871,444","+9,561","84,640 ",+168,"4,399,864","+18,514","386,940"
Italy,"4,553,235","+6,755","129,352 ",+34,"4,286,991","+6,372","136,892"
Indonesia,"4,109,093","+8,955","134,356 ",+680,"3,798,099","+21,208","176,638"
Germany,"3,983,983","+13,950","92,794 ",+37,"3,750,700","+6,100","140,489"
Mexico,"3,369,747","+17,337","260,503 ","+1,177","2,715,043","+14,311","394,201"
Poland,"2,889,424",+402,"75,367 ",+7,"2,657,177",+93,"156,880"
South Africa,"2,796,405","+9,202","82,914 ",+418,"2,568,465","+7,860","145,026"
Ukraine,"2,290,848","+2,477","53,877 ",+44,"2,209,754",+889,"27,217"
Peru,"2,152,118","+1,108","198,364 ",+35,N/A,N/A,N/A
Philippines,"2,020,258","+16,395","33,680 ",+148,"1,839,991","+10,662","146,587"
Netherlands,"1,946,655","+2,773","18,017 ",+5,"1,854,081","+2,182","74,557"
Iraq,"1,902,407","+6,948","20,934 ",+56,"1,748,758","+7,265","132,715"
Malaysia,"1,786,004","+20,988","17,191 ",+249,"1,506,273","+23,473","262,540"
Czechia,"1,679,741",+263,"30,405 ",,"1,647,652",+23,"1,684"
Chile,"1,639,698",+575,"36,995 ",+50,"1,596,763",+406,"5,940"
Bangladesh,"1,507,116","+3,436","26,362 ",+88,"1,437,885","+5,901","42,869"
Canada,"1,507,053","+4,034","26,991 ",+29,"1,446,567","+2,759","33,495"
Japan,"1,506,451","+19,259","16,123 ",+82,"1,277,940","+23,230","212,388"
Thailand,"1,234,487","+14,956","12,103 ",+262,"1,058,704","+17,936","163,680"
Belgium,"1,187,506","+2,842","25,382 ",+2,"1,103,638","+1,358","58,486"
Pakistan,"1,167,791","+4,103","25,978 ",+89,"1,048,872","+4,974","92,941"
Sweden,"1,130,525","+1,417","14,651 ",,"1,088,203",+956,"27,671"
Romania,"1,101,678","+1,470","34,617 ",+26,"1,056,922","+1,030","10,139"
Israel,"1,098,727","+11,852","7,122 ",+36,"999,335","+9,828","92,270"
Portugal,"1,042,322","+2,830","17,766 ",+9,"980,599","+2,137","43,957"
Morocco,"872,351","+5,383","12,819 ",+70,"807,433","+6,769","52,099"
Hungary,"812,793",+262,"30,060 ",+1,"777,909",+263,"4,824"
Jordan,"798,984",+893,"10,442 ",+20,"776,925",+762,"11,617"
Kazakhstan,"798,671","+4,880","9,495 ",+93,"691,480","+10,644","97,696"
Switzerland,"785,692","+2,838","11,010 ",+12,"709,789","+3,068","64,893"
Serbia,"769,803","+3,524","7,322 ",+15,"723,920",+990,"38,561"
Nepal,"765,914","+1,619","10,786 ",+16,"721,182","+1,846","33,946"
UAE,"720,330",+975,"2,043 ",,"708,155","+1,511","10,132"
Austria,"691,663","+1,510","10,778 ",+3,"664,582","+1,121","16,303"
Tunisia,"668,051","+1,883","23,647 ",+109,"622,353","+4,238","22,051"
Cuba,"665,672","+6,208","5,464 ",+87,"627,242","+7,085","32,966"
Lebanon,"604,409","+1,121","8,070 ",+9,"556,294","+1,231","40,045"
Greece,"593,668","+2,836","13,702 ",+33,"543,570","+3,137","36,396"
Georgia,"556,909","+3,212","7,563 ",+81,"502,534","+5,017","46,812"
Saudi Arabia,"544,811",+177,"8,560 ",+8,"533,430",+279,"2,821"
Ecuador,"502,146",,"32,296 ",,"443,880",,"25,970"
Bolivia,"491,340",+461,"18,473 ",+21,"436,496",+792,"36,371"
Vietnam,"486,727","+13,197","12,138 ",+271,"259,324","+10,602","215,265"
Belarus,"485,067","+1,836","3,803 ",+12,"477,682","+1,784","3,582"
Guatemala,"479,376","+3,828","12,098 ",+91,"416,180","+3,482","51,098"
Costa Rica,"469,565","+2,991","5,540 ",+17,"375,472",+842,"88,553"
Bulgaria,"459,051","+1,564","19,001 ",+51,"407,029",+684,"33,021"
Paraguay,"458,716",+102,"15,821 ",+36,"437,843",+245,"5,052"
Panama,"458,638",+481,"7,069 ",+3,"444,476",+739,"7,093"
Sri Lanka,"447,757","+3,627","9,604 ",+204,"378,168","+1,952","59,985"
Azerbaijan,"432,495","+3,759","5,722 ",+45,"373,475","+3,473","53,298"
Kuwait,"410,072",+111,"2,421 ",+1,"405,470",+150,"2,181"
Myanmar,"406,099","+3,459","15,600 ",+110,"355,764","+1,953","34,735"
Slovakia,"395,300",+178,"12,548 ",,"381,251",+77,"1,501"
Uruguay,"385,264",+186,"6,034 ",,"377,868",,"1,362"
Croatia,"375,601",+798,"8,349 ",+11,"363,309",+476,"3,943"
Ireland,"354,236",,"5,112 ",,"298,314",,"50,810"
Dominican Republic,"350,789",+321,"4,009 ",+1,"341,683",+332,"5,097"
Palestine,"347,730","+2,773","3,699 ",+11,"320,086",+951,"23,945"
Denmark,"347,212",+694,"2,584 ",,"332,471",+972,"12,157"
Honduras,"341,518","+1,677","8,974 ",+42,"107,461",+178,"225,083"
Venezuela,"337,359","+1,271","4,056 ",+17,"321,264",+864,"12,039"
Libya,"312,116","+1,479","4,286 ",+23,"224,020","+1,600","83,810"
Ethiopia,"310,994","+1,643","4,711 ",+19,"279,448","+1,386","26,835"
Oman,"302,466",+73,"4,070 ",+2,"292,181",+143,"6,215"
Lithuania,"300,348",+816,"4,584 ",+13,"281,679",+510,"14,085"
Egypt,"289,035",+303,"16,755 ",+12,"240,325",+439,"31,955"
Bahrain,"272,709",+74,"1,388 ",,"270,313",+17,"1,008"
Moldova,"268,892",+787,"6,411 ",+5,"257,984",+312,"4,497"
Slovenia,"268,638",+668,"4,453 ",+3,"258,131",+379,"6,054"
S. Korea,"255,401","+1,956","2,303 ",+11,"226,222","+1,903","26,876"
Armenia,"243,386",+636,"4,876 ",+19,"227,726",+433,"10,784"
Kenya,"237,851",+970,"4,746 ",+7,"224,882",+612,"8,223"
Qatar,"233,087",+177,602 ,,"229,964",+201,"2,521"
Mongolia,"221,351","+3,805",948 ,+4,"195,676","+2,570","24,727"
Bosnia and Herzegovina,"215,313",+554,"9,847 ",+32,"192,218",,"13,248"
Zambia,"206,705",+183,"3,608 ",+3,"201,507",+280,"1,590"
Algeria,"196,915",+388,"5,339 ",+37,"134,073",+334,"57,503"
Nigeria,"193,644",+631,"2,488 ",+8,"179,294",+294,"11,862"
North Macedonia,"178,159",+760,"5,987 ",+23,"157,294",+644,"14,878"
Kyrgyzstan,"176,018",+142,"2,536 ",+4,"170,169",+102,"3,313"
Norway,"163,364","+1,550",822 ,,"88,952",,"73,590"
Botswana,"159,317","+2,390","2,276 ",+15,"151,895","+3,376","5,146"
Uzbekistan,"157,872",+736,"1,093 ",+5,"149,767",+494,"7,012"
Afghanistan,"153,375",+69,"7,127 ",,"111,281",+468,"34,967"
Albania,"148,222",+853,"2,505 ",+4,"134,802",+526,"10,915"
Mozambique,"147,066",+312,"1,871 ",+5,"135,431","+1,031","9,764"
Latvia,"143,446",+340,"2,580 ",+1,"138,084",+145,"2,782"
Estonia,"142,835",+472,"1,295 ",+2,"134,363",+359,"7,177"
Finland,"128,544",+683,"1,030 ",,"46,000",,"81,514"
Namibia,"125,206",+70,"3,394 ",+8,"119,710",+279,"2,102"
Zimbabwe,"125,118",+158,"4,449 ",+11,"114,197",+670,"6,472"
Uganda,"120,208",+133,"3,031 ",+8,"95,590",+12,"21,587"
Ghana,"120,003",+207,"1,047 ",+11,"112,099",+850,"6,857"
Montenegro,"116,533",+577,"1,733 ",+1,"106,417",+530,"8,383"
Cyprus,"114,366",+235,508 ,+1,"90,755",,"23,103"
El Salvador,"96,067",,"2,934 ",+8,"81,339",,"11,794"
Cambodia,"93,926",+416,"1,928 ",+12,"89,500",+386,"2,498"
Rwanda,"88,682",+485,"1,105 ",+8,"45,329",+16,"42,248"
Cameroon,"84,210",,"1,357 ",,"80,433",,"2,420"
Maldives,"81,474",+173,226 ,,"79,340",+72,"1,908"
Luxembourg,"75,981",+77,830 ,,"74,098",+77,"1,053"
Senegal,"72,977",+57,"1,780 ",+6,"62,770",+356,"8,427"
Jamaica,"69,054",+572,"1,568 ",+19,"48,493",+91,"18,993"
Singapore,"67,991",+191,55 ,,"66,312",+90,"1,624"
Malawi,"60,663",+80,"2,195 ",+10,"48,566",+380,"9,902"
Australia,"56,565","+1,472","1,019 ",+7,"33,571",,"21,975"
Ivory Coast,"56,521",+373,451 ,+6,"54,154",+152,"1,916"
DRC,"55,146",,"1,059 ",,"30,858",,"23,229"
Réunion,"50,346",,342 ,,"47,752",,"2,252"
Guadeloupe,"49,381",,539 ,,"2,250",,"46,592"
Angola,"48,004",+223,"1,235 ",+8,"43,739",+170,"3,030"
Fiji,"47,256",+250,505 ,+1,"30,169","+1,102","16,582"
Trinidad and Tobago,"45,061",+104,"1,311 ",+9,"39,700",+268,"4,050"
Eswatini,"43,857",+231,"1,129 ",+17,"36,148",+607,"6,580"
Madagascar,"42,876",+3,956 ,,"41,298",,622
French Polynesia,"40,178",,463 ,+17,"33,500",,"6,215"
Sudan,"37,715",,"2,837 ",,"31,675",,"3,203"
Martinique,"37,192",,442 ,,104,,"36,646"
Malta,"36,322",+75,441 ,,"34,781",+54,"1,100"
Cabo Verde,"35,624",+118,314 ,,"34,455",+111,855
French Guiana,"35,528",+219,221 ,+1,"9,995",,"25,312"
Mauritania,"33,869",+144,724 ,+7,"31,007",+242,"2,138"
Suriname,"29,921",+322,730 ,+5,"24,598",+151,"4,593"
Guinea,"29,605",+64,341 ,+3,"27,405",+48,"1,859"
Syria,"28,174",+129,"2,023 ",+5,"22,510",+19,"3,641"
Guyana,"25,951",+181,632 ,+8,"23,338",+142,"1,981"
Gabon,"25,888",,166 ,,"25,625",,97
Togo,"21,785",+224,187 ,+2,"17,079",+153,"4,519"
Haiti,"20,962",+31,586 ,,"18,222",+182,"2,154"
Seychelles,"20,144",+168,105 ,+1,"19,500",+138,539
Mayotte,"19,852",+25,175 ,,"2,964",,"16,713"
Bahamas,"18,576",+116,412 ,+4,"14,819",+59,"3,345"
Papua New Guinea,"17,926",,192 ,,"17,547",,187
Somalia,"17,630",+164,992 ,+15,"8,604",+73,"8,034"
Timor-Leste,"17,183",+269,74 ,+2,"12,625",+262,"4,484"
Tajikistan,"16,884",+32,124 ,,"16,742",+44,18
Belize,"16,612",+119,362 ,,"15,083",+105,"1,167"
Taiwan,"16,006",+5,837 ,+1,"14,960",,209
Benin,"15,932",,131 ,,"11,098",,"4,703"
Laos,"15,459",+170,14 ,,"5,418",,"10,027"
Curaçao,"15,379",+41,147 ,+2,"14,853",+48,379
Andorra,"15,052",+6,130 ,,"14,867",+5,55
Mali,"14,909",+14,539 ,,"14,114",+3,256
Aruba,"14,719",+57,148 ,+2,"13,984",+96,587
Lesotho,"14,395",,403 ,,"6,830",,"7,162"
Burkina Faso,"13,798",+21,171 ,,"13,535",,92
Congo,"13,588",,183 ,,"12,421",,984
Burundi,"12,585",,38 ,,773,,"11,774"
Hong Kong,"12,114",,212 ,,"11,798",,104
Djibouti,"11,765",+8,157 ,,"11,563",+9,45
Nicaragua,"11,735",,200 ,,"4,225",,"7,310"
South Sudan,"11,446",,120 ,,"10,948",,378
CAR,"11,296",,100 ,,"6,859",,"4,337"
Iceland,"10,912",+56,33 ,,"10,063",+60,816
Channel Islands,"10,689",+40,95 ,,"10,190",+43,404
Mauritius,"10,676",,31 ,,"1,854",,"8,791"
Gambia,"9,715",,322 ,,"9,315",,78
Equatorial Guinea,"9,477",,126 ,,"8,879",,472
Saint Lucia,"8,542",+220,108 ,+2,"6,376",+152,"2,058"
Yemen,"7,951",+51,"1,486 ",+6,"4,908",+37,"1,557"
Isle of Man,"6,741",+47,38 ,,"6,394",+56,309
Eritrea,"6,642",,38 ,,"6,594",+4,10
Sierra Leone,"6,369",+1,121 ,,"4,361",,"1,887"
Niger,"5,863",+6,199 ,,"5,561",+17,103
Guinea-Bissau,"5,854",+25,120 ,,"4,874",+30,860
Liberia,"5,459",,148 ,,"2,715",,"2,596"
Gibraltar,"5,371",+4,97 ,,"5,184",+15,90
San Marino,"5,321",,90 ,,"5,150",,81
Barbados,"5,152",+80,51 ,,"4,688",+36,413
Chad,"4,994",,174 ,,"4,812",,8
Comoros,"4,076",+4,147 ,,"3,902",+1,27
Sint Maarten,"3,775",+29,56 ,+3,"3,462",+34,257
New Zealand,"3,697",+52,26 ,,"2,901",+6,770
Saint Martin,"3,463",+190,45 ,+3,"1,399",,"2,019"
Liechtenstein,"3,289",+11,59 ,,"3,186",+5,44
Monaco,"3,220",+9,33  ,,"3,108",+12,79
Brunei ,"2,960",+102,12 ,+1,"1,144",+91,"1,804"
Bermuda,"2,923",,34 ,,"2,684",,205
Turks and Caicos,"2,672",+19,20 ,,"2,568",+5,84
Sao Tome and Principe,"2,634",+7,37 ,,"2,438",+6,159
Bhutan,"2,596",,3 ,,"2,574",+3,19
British Virgin Islands,"2,568",,37 ,,"2,500",,31
St. Vincent Grenadines,"2,355",+7,12 ,,"2,305",+1,38
Dominica,"1,832",+194,4 ,,"1,210",+214,618
Caribbean Netherlands,"1,800",+7,17 ,,"1,754",,29
Antigua and Barbuda,"1,742",+23,44 ,,"1,349",,349
St. Barth,"1,534",+14,2 ,,462,,"1,070"
Tanzania,"1,367",,50 ,,183,,"1,134"
Saint Kitts and Nevis,"1,148",+27,4 ,+1,645,+2,499
Faeroe Islands,"1,002",+1,2 ,,995,+2,5
Grenada,817,+153,4 ,+1,214,+2,599
Diamond Princess,712,,13 ,,699,,0
Cayman Islands,689,+1,2 ,,670,+2,17
Wallis and Futuna,445,,7 ,,438,,0
Greenland,347,+4, ,,298,+2,49
Anguilla,256,+39, ,,208,+29,48
New Caledonia,136,, ,,58,,78
Falkland Islands,67,, ,,63,,4
Macao,63,, ,,60,,3
Saint Pierre Miquelon,31,+1, ,,30,,1
Montserrat,29,,1 ,,22,,6
Vatican City,27,, ,,27,,0
Solomon Islands,20,, ,,20,,0
Western Sahara,10,,1 ,,8,,1
MS Zaandam,9,,2 ,,7,,0
Vanuatu,4,,1 ,,3,,0
Marshall Islands,4,, ,,4,,0
Samoa,3,, ,,3,,0
Palau,2,, ,,1,+1,1
Saint Helena,2,, ,,2,,0
Micronesia,1,, ,,1,,0
Total:,"70,634,610","+255,421","1,043,260","+3,867","65,877,380","+259,441","3,713,970"
Total:,"48,599,852","+221,670","1,003,161","+3,214","37,959,875","+92,955","9,636,816"
Total:,"36,997,452","+37,524","1,132,918","+1,220","34,821,556","+36,702","1,042,978"
Total:,"55,614,119","+142,213","1,176,644","+1,633","50,741,508","+132,048","3,695,967"
Total:,"7,919,231","+27,780","198,187",+847,"7,043,722","+32,546","677,322"
Total:,"166,237","+1,774","2,213",+25,"118,216","+1,109","45,808"
Total:,721,,15,,706,,0
Total:,"219,932,222","+686,382","4,556,398","+10,806","196,562,963","+554,801","18,812,861"
